1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1648419284 1266321801 {'positive': 1, 'negative': 0, 'total': 34}
1648674721 1266321801 {'positive': 0, 'negative': 1, 'total': 19}
1807940004 1266321801 {'positive': 1, 'negative': 0, 'total': 6}
1808058820 1266321801 {'positive': 1, 'negative': 0, 'total': 47}
1808839250 1266321801 {'positive': 1, 'negative': 0, 'total': 34}
1808069184 1266321801 {'positive': 0, 'negative': 1, 'total': 18}
1648725487 1266321801 {'positive': 1, 'negative': 0, 'total': 36}
1648431152 1266321801 {'positive': 1, 'negative': 0, 'total': 23}
1807997904 1266321801 {'positive': 0, 'negative': 1, 'total': 7}
1648646157 1266321801 {'positive': 0, 'negative': 1, 'total': 13}
1648791521 1266321801 {'positive': 0, 'negative': 1, 'total': 6}
1648422631 1266321801 {'positive': 1, 'negative': 0, 'total': 32}
1808804582 1266321801 {'positive': 1, 'negative': 0, 'total': 38}
1648771254 1266321801 {'positive': 1, 'negative': 0, 'total': 41}
1648453323 1266321801 {'positive': 1, 'negative': 0, 'total': 12}
1819047075 1266321801 {'positive': 1, 'negative': 0, 'total': 85}
1820030401 1266321801 {'positive': 2, 'negative': 0, 'total': 97}
1654688427 1266321801 {'positive': 6, 'negative': 0, 'total': 78}
1819063165 1266321801 {'positive': 0, 'negative': 1, 'total': 91}
1654672597 1266321801 {'positive': 1, 'negative': 0, 'total': 34}
1654728350 1266321801 {'positive': 2, 'negative': 0, 'total': 91}
1654785632 1266321801 {'positive': 1, 'negative': 0, 'total': 97}
1819982897 1266321801 {'positive': 1, 'negative': 0, 'total': 81}
1654809764 1266321801 {'positive': 1, 'negative': 0, 'total': 53}
1820007567 1266321801 {'positive': 1, 'negative': 0, 'total': 56}
1820034563 1266321801 {'positive': 2, 'negative': 0, 'total': 39}
1819924201 1266321801 {'positive': 1, 'negative': 0, 'total': 57}
1654884754 1266321801 {'positive': 0, 'negative': 1, 'total': 29}
1654828243 1266321801 {'positive': 0, 'negative': 1, 'total': 118}
1819069217 1266321801 {'positive': 1, 'negative': 0, 'total': 33}
1819138773 1266321801 {'positive': 1, 'negative': 0, 'total': 72}
1819943557 1266321801 {'positive': 1, 'negative': 0, 'total': 71}
1654778304 1266321801 {'positive': 0, 'negative': 1, 'total': 62}
1819981995 1266321801 {'positive': 0, 'negative': 1, 'total': 74}
1819956777 1266321801 {'positive': 1, 'negative': 0, 'total': 62}
1819984631 1266321801 {'positive': 2, 'negative': 0, 'total': 87}
1819095097 1266321801 {'positive': 1, 'negative': 0, 'total': 8}
1654865461 1266321801 {'positive': 0, 'negative': 1, 'total': 13}
1654703407 1266321801 {'positive': 3, 'negative': 0, 'total': 115}
1819947804 1266321801 {'positive': 1, 'negative': 0, 'total': 114}
1654837130 1266321801 {'positive': 1, 'negative': 0, 'total': 53}
1654872754 1266321801 {'positive': 0, 'negative': 1, 'total': 80}
1654696685 1266321801 {'positive': 2, 'negative': 0, 'total': 15}
1654724491 1266321801 {'positive': 3, 'negative': 0, 'total': 56}
1654783694 1266321801 {'positive': 1, 'negative': 0, 'total': 5}
1654805881 1266321801 {'positive': 0, 'negative': 1, 'total': 47}
1819940690 1266321801 {'positive': 2, 'negative': 0, 'total': 53}
1654783810 1266321801 {'positive': 1, 'negative': 0, 'total': 63}
1654816784 1266321801 {'positive': 1, 'negative': 0, 'total': 28}
1820032225 1266321801 {'positive': 1, 'negative': 0, 'total': 18}
1654840475 1266321801 {'positive': 1, 'negative': 0, 'total': 31}
1820042555 1266321801 {'positive': 1, 'negative': 0, 'total': 25}
1654741464 1266321801 {'positive': 1, 'negative': 0, 'total': 117}
1820039981 1266321801 {'positive': 1, 'negative': 0, 'total': 67}
1819125517 1266321801 {'positive': 1, 'negative': 1, 'total': 85}
1654811707 1266321801 {'positive': 1, 'negative': 1, 'total': 68}
1654665084 1266321801 {'positive': 0, 'negative': 1, 'total': 54}
1819907210 1266321801 {'positive': 1, 'negative': 0, 'total': 48}
1819978732 1266321801 {'positive': 1, 'negative': 1, 'total': 58}
1654832715 1266321801 {'positive': 1, 'negative': 0, 'total': 46}
1654871342 1266321801 {'positive': 0, 'negative': 1, 'total': 99}
1820791403 1266321801 {'positive': 1, 'negative': 0, 'total': 38}
1819080411 1266321801 {'positive': 1, 'negative': 0, 'total': 64}
1654686373 1266321801 {'positive': 1, 'negative': 0, 'total': 115}
1819049777 1266321801 {'positive': 1, 'negative': 0, 'total': 86}
1820000443 1266321801 {'positive': 1, 'negative': 0, 'total': 59}
1654683274 1266321801 {'positive': 0, 'negative': 1, 'total': 92}
1654676623 1266321801 {'positive': 1, 'negative': 0, 'total': 316}
1819901937 1266321801 {'positive': 1, 'negative': 0, 'total': 60}
1819072894 1266321801 {'positive': 1, 'negative': 0, 'total': 77}
1820793757 1266321801 {'positive': 1, 'negative': 0, 'total': 22}
1819021583 1266321801 {'positive': 1, 'negative': 0, 'total': 70}
1654691794 1266321801 {'positive': 1, 'negative': 0, 'total': 91}
1819992491 1266321801 {'positive': 1, 'negative': 0, 'total': 23}
1654786884 1266321801 {'positive': 1, 'negative': 0, 'total': 57}
1819061331 1266321801 {'positive': 1, 'negative': 0, 'total': 14}
1654795134 1266321801 {'positive': 1, 'negative': 0, 'total': 21}
1820055234 1266321801 {'positive': 1, 'negative': 0, 'total': 6}
1820045253 1266321801 {'positive': 1, 'negative': 0, 'total': 10}
1819984535 1266321801 {'positive': 1, 'negative': 0, 'total': 26}
1820054224 1266321801 {'positive': 1, 'negative': 0, 'total': 25}
1819938611 1266321801 {'positive': 1, 'negative': 0, 'total': 44}
1654773857 1266321801 {'positive': 0, 'negative': 1, 'total': 126}
1692743147 1266321801 {'positive': 4, 'negative': 0, 'total': 16}
1690689767 1266321801 {'positive': 1, 'negative': 0, 'total': 14}
1689066070 1266321801 {'positive': 1, 'negative': 0, 'total': 75}
1689178411 1266321801 {'positive': 1, 'negative': 0, 'total': 21}
1690635352 1266321801 {'positive': 1, 'negative': 0, 'total': 13}
1690687982 1266321801 {'positive': 1, 'negative': 0, 'total': 16}
1690702017 1266321801 {'positive': 1, 'negative': 0, 'total': 11}
1690782185 1266321801 {'positive': 1, 'negative': 0, 'total': 72}
1690884751 1266321801 {'positive': 1, 'negative': 0, 'total': 12}
1690994111 1266321801 {'positive': 1, 'negative': 0, 'total': 18}
1691014482 1266321801 {'positive': 1, 'negative': 0, 'total': 4}
1692838821 1266321801 {'positive': 1, 'negative': 0, 'total': 23}
1692838080 1266321801 {'positive': 1, 'negative': 0, 'total': 5}
1692765962 1266321801 {'positive': 1, 'negative': 0, 'total': 31}
1690636193 1266321801 {'positive': 1, 'negative': 0, 'total': 9}
1689152395 1266321801 {'positive': 1, 'negative': 0, 'total': 12}
1689162105 1266321801 {'positive': 1, 'negative': 0, 'total': 14}
1690655625 1266321801 {'positive': 1, 'negative': 0, 'total': 5}
1642840932 1231759973 {'positive': 0, 'negative': 1, 'total': 4}
1648549503 1231759973 {'positive': 0, 'negative': 1, 'total': 10}
1648623305 1231759973 {'positive': 1, 'negative': 0, 'total': 22}
1648632845 1231759973 {'positive': 0, 'negative': 1, 'total': 25}
1648621602 1231759973 {'positive': 1, 'negative': 0, 'total': 15}
1648664373 1231759973 {'positive': 1, 'negative': 0, 'total': 32}
1648706284 1231759973 {'positive': 0, 'negative': 1, 'total': 51}
1648719301 1231759973 {'positive': 0, 'negative': 1, 'total': 10}
1819150120 1231759973 {'positive': 1, 'negative': 0, 'total': 41}
1654842270 1231759973 {'positive': 0, 'negative': 1, 'total': 43}
1654715720 1231759973 {'positive': 0, 'negative': 1, 'total': 85}
1654863421 1231759973 {'positive': 1, 'negative': 0, 'total': 58}
1819994473 1231759973 {'positive': 1, 'negative': 0, 'total': 52}
1654686373 1231759973 {'positive': 1, 'negative': 0, 'total': 115}
1654725222 1231759973 {'positive': 1, 'negative': 0, 'total': 134}
1654792913 1231759973 {'positive': 0, 'negative': 1, 'total': 88}
1654828243 1231759973 {'positive': 0, 'negative': 1, 'total': 118}
1654724491 1231759973 {'positive': 0, 'negative': 1, 'total': 56}
1819901702 1231759973 {'positive': 0, 'negative': 1, 'total': 3}
1654811311 1231759973 {'positive': 1, 'negative': 0, 'total': 58}
1654751397 1231759973 {'positive': 1, 'negative': 0, 'total': 41}
1654759703 1231759973 {'positive': 1, 'negative': 0, 'total': 125}
1819947804 1231759973 {'positive': 1, 'negative': 0, 'total': 114}
1819945431 1231759973 {'positive': 1, 'negative': 0, 'total': 91}
1819981197 1231759973 {'positive': 2, 'negative': 0, 'total': 96}
1654799211 1231759973 {'positive': 1, 'negative': 0, 'total': 88}
1654708892 1231759973 {'positive': 1, 'negative': 0, 'total': 50}
1654736305 1231759973 {'positive': 0, 'negative': 1, 'total': 51}
1690876191 1231759973 {'positive': 1, 'negative': 0, 'total': 16}
1688986145 1231759973 {'positive': 1, 'negative': 0, 'total': 9}
1690667495 1231759973 {'positive': 1, 'negative': 0, 'total': 2}
1690932531 1231759973 {'positive': 1, 'negative': 0, 'total': 31}
1689010900 1231759973 {'positive': 0, 'negative': 1, 'total': 25}
1642596277 2288577367 {'positive': 1, 'negative': 0, 'total': 1}
1807986924 2288577367 {'positive': 1, 'negative': 0, 'total': 12}
1648496513 2288577367 {'positive': 1, 'negative': 0, 'total': 16}
1819943557 2288577367 {'positive': 1, 'negative': 0, 'total': 71}
1654684767 2288577367 {'positive': 2, 'negative': 0, 'total': 49}
1656262395 2288577367 {'positive': 1, 'negative': 0, 'total': 35}
1819052297 2288577367 {'positive': 1, 'negative': 0, 'total': 72}
1654738827 2288577367 {'positive': 1, 'negative': 0, 'total': 51}
1819989081 2288577367 {'positive': 0, 'negative': 1, 'total': 53}
1819039437 2288577367 {'positive': 1, 'negative': 0, 'total': 16}
1819972707 2288577367 {'positive': 1, 'negative': 0, 'total': 55}
1654682885 2288577367 {'positive': 0, 'negative': 1, 'total': 65}
1819925303 2288577367 {'positive': 1, 'negative': 0, 'total': 50}
1819888707 2288577367 {'positive': 0, 'negative': 1, 'total': 36}
1820050655 2288577367 {'positive': 1, 'negative': 0, 'total': 48}
1654878941 2288577367 {'positive': 1, 'negative': 0, 'total': 39}
1820023830 2288577367 {'positive': 0, 'negative': 1, 'total': 109}
1819114081 2288577367 {'positive': 1, 'negative': 0, 'total': 88}
1689021000 2288577367 {'positive': 1, 'negative': 0, 'total': 17}
1690811113 2288577367 {'positive': 1, 'negative': 0, 'total': 12}
1646528437 1675718025 {'positive': 1, 'negative': 0, 'total': 1}
1648543260 1675718025 {'positive': 0, 'negative': 1, 'total': 32}
1808017467 1675718025 {'positive': 0, 'negative': 2, 'total': 21}
1808785164 1675718025 {'positive': 0, 'negative': 1, 'total': 10}
1808020857 1675718025 {'positive': 0, 'negative': 1, 'total': 24}
1648690775 1675718025 {'positive': 1, 'negative': 0, 'total': 14}
1648526251 1675718025 {'positive': 0, 'negative': 1, 'total': 10}
1808057045 1675718025 {'positive': 1, 'negative': 0, 'total': 29}
1648760414 1675718025 {'positive': 1, 'negative': 0, 'total': 24}
1808069184 1675718025 {'positive': 1, 'negative': 0, 'total': 18}
1648641024 1675718025 {'positive': 1, 'negative': 0, 'total': 20}
1648597014 1675718025 {'positive': 2, 'negative': 0, 'total': 7}
1808818193 1675718025 {'positive': 1, 'negative': 0, 'total': 4}
1648452525 1675718025 {'positive': 1, 'negative': 0, 'total': 10}
1648645447 1675718025 {'positive': 1, 'negative': 0, 'total': 20}
1808772392 1675718025 {'positive': 1, 'negative': 0, 'total': 8}
1808822101 1675718025 {'positive': 1, 'negative': 0, 'total': 36}
1819101194 1675718025 {'positive': 3, 'negative': 0, 'total': 62}
1654756482 1675718025 {'positive': 1, 'negative': 0, 'total': 1}
1819939953 1675718025 {'positive': 1, 'negative': 0, 'total': 14}
1654774703 1675718025 {'positive': 1, 'negative': 0, 'total': 95}
1820010653 1675718025 {'positive': 1, 'negative': 0, 'total': 19}
1654690512 1675718025 {'positive': 0, 'negative': 1, 'total': 57}
1819940690 1675718025 {'positive': 2, 'negative': 0, 'total': 53}
1654659207 1675718025 {'positive': 0, 'negative': 1, 'total': 47}
1819958377 1675718025 {'positive': 1, 'negative': 0, 'total': 40}
1819153852 1675718025 {'positive': 1, 'negative': 0, 'total': 10}
1654889517 1675718025 {'positive': 3, 'negative': 0, 'total': 36}
1654762253 1675718025 {'positive': 1, 'negative': 0, 'total': 43}
1654861182 1675718025 {'positive': 1, 'negative': 0, 'total': 65}
1820039951 1675718025 {'positive': 1, 'negative': 0, 'total': 60}
1654840571 1675718025 {'positive': 0, 'negative': 1, 'total': 18}
1654648040 1675718025 {'positive': 3, 'negative': 0, 'total': 11}
1819978477 1675718025 {'positive': 1, 'negative': 0, 'total': 29}
1819950463 1675718025 {'positive': 0, 'negative': 1, 'total': 39}
1654780420 1675718025 {'positive': 2, 'negative': 0, 'total': 39}
1819995875 1675718025 {'positive': 2, 'negative': 0, 'total': 11}
1819893231 1675718025 {'positive': 1, 'negative': 0, 'total': 29}
1819938611 1675718025 {'positive': 1, 'negative': 0, 'total': 44}
1819967717 1675718025 {'positive': 1, 'negative': 0, 'total': 42}
1819990453 1675718025 {'positive': 1, 'negative': 0, 'total': 68}
1654783500 1675718025 {'positive': 1, 'negative': 0, 'total': 39}
1819979027 1675718025 {'positive': 1, 'negative': 0, 'total': 42}
1819098561 1675718025 {'positive': 0, 'negative': 1, 'total': 2}
1819086833 1675718025 {'positive': 1, 'negative': 0, 'total': 44}
1691019664 1675718025 {'positive': 1, 'negative': 0, 'total': 31}
1690708070 1675718025 {'positive': 1, 'negative': 0, 'total': 10}
1689116007 1675718025 {'positive': 0, 'negative': 1, 'total': 14}
1691012994 1675718025 {'positive': 1, 'negative': 0, 'total': 20}
1692750963 1675718025 {'positive': 0, 'negative': 1, 'total': 6}
1690774133 1675718025 {'positive': 1, 'negative': 0, 'total': 12}
1689183777 1675718025 {'positive': 1, 'negative': 0, 'total': 1}
1690997095 1675718025 {'positive': 1, 'negative': 0, 'total': 8}
1691047944 1675718025 {'positive': 1, 'negative': 0, 'total': 8}
1689109207 1675718025 {'positive': 1, 'negative': 0, 'total': 17}
1690989431 1675718025 {'positive': 1, 'negative': 0, 'total': 3}
1691003843 1675718025 {'positive': 1, 'negative': 0, 'total': 1}
1642487892 1505632533 {'positive': 0, 'negative': 1, 'total': 2}
1648556970 1505632533 {'positive': 1, 'negative': 0, 'total': 10}
1654680417 1505632533 {'positive': 0, 'negative': 1, 'total': 164}
1819958532 1505632533 {'positive': 1, 'negative': 0, 'total': 56}
1689184247 1505632533 {'positive': 1, 'negative': 0, 'total': 26}
1642494992 1045946740 {'positive': 1, 'negative': 0, 'total': 1}
1642543241 1339403564 {'positive': 0, 'negative': 1, 'total': 8}
1692746322 1339403564 {'positive': 1, 'negative': 0, 'total': 21}
1642531317 1866402485 {'positive': 1, 'negative': 0, 'total': 1}
1642578613 1866402485 {'positive': 1, 'negative': 0, 'total': 1}
1642654287 1866402485 {'positive': 1, 'negative': 0, 'total': 1}
1646538521 1866402485 {'positive': 1, 'negative': 0, 'total': 3}
1648454377 1866402485 {'positive': 1, 'negative': 0, 'total': 30}
1648465222 1866402485 {'positive': 1, 'negative': 0, 'total': 37}
1648785494 1866402485 {'positive': 0, 'negative': 1, 'total': 12}
1808828811 1866402485 {'positive': 2, 'negative': 0, 'total': 21}
1648455952 1866402485 {'positive': 0, 'negative': 1, 'total': 20}
1648623305 1866402485 {'positive': 0, 'negative': 1, 'total': 22}
1654762943 1866402485 {'positive': 1, 'negative': 0, 'total': 59}
1819956777 1866402485 {'positive': 1, 'negative': 0, 'total': 62}
1819990453 1866402485 {'positive': 1, 'negative': 1, 'total': 68}
1654820380 1866402485 {'positive': 1, 'negative': 0, 'total': 32}
1654829870 1866402485 {'positive': 0, 'negative': 1, 'total': 68}
1820042092 1866402485 {'positive': 1, 'negative': 0, 'total': 86}
1656262772 1866402485 {'positive': 3, 'negative': 3, 'total': 25}
1654759703 1866402485 {'positive': 0, 'negative': 1, 'total': 125}
1654682904 1866402485 {'positive': 2, 'negative': 1, 'total': 104}
1654676815 1866402485 {'positive': 5, 'negative': 1, 'total': 178}
1819114081 1866402485 {'positive': 0, 'negative': 1, 'total': 88}
1819981197 1866402485 {'positive': 0, 'negative': 1, 'total': 96}
1654645794 1866402485 {'positive': 2, 'negative': 1, 'total': 36}
1820001871 1866402485 {'positive': 1, 'negative': 0, 'total': 56}
1654797581 1866402485 {'positive': 3, 'negative': 1, 'total': 82}
1819955390 1866402485 {'positive': 2, 'negative': 0, 'total': 88}
1654648811 1866402485 {'positive': 0, 'negative': 1, 'total': 35}
1654667045 1866402485 {'positive': 0, 'negative': 1, 'total': 126}
1654715720 1866402485 {'positive': 2, 'negative': 1, 'total': 85}
1654703640 1866402485 {'positive': 1, 'negative': 0, 'total': 49}
1819934483 1866402485 {'positive': 0, 'negative': 1, 'total': 32}
1654774703 1866402485 {'positive': 1, 'negative': 0, 'total': 95}
1819928980 1866402485 {'positive': 1, 'negative': 2, 'total': 54}
1819965553 1866402485 {'positive': 0, 'negative': 1, 'total': 41}
1654782224 1866402485 {'positive': 1, 'negative': 0, 'total': 68}
1819979921 1866402485 {'positive': 3, 'negative': 0, 'total': 48}
1819983531 1866402485 {'positive': 0, 'negative': 1, 'total': 48}
1654805881 1866402485 {'positive': 0, 'negative': 1, 'total': 47}
1654827680 1866402485 {'positive': 0, 'negative': 1, 'total': 66}
1654843397 1866402485 {'positive': 0, 'negative': 1, 'total': 50}
1654822245 1866402485 {'positive': 1, 'negative': 3, 'total': 85}
1654837130 1866402485 {'positive': 2, 'negative': 0, 'total': 53}
1654846235 1866402485 {'positive': 1, 'negative': 0, 'total': 49}
1820039743 1866402485 {'positive': 1, 'negative': 0, 'total': 58}
1656259673 1866402485 {'positive': 1, 'negative': 0, 'total': 45}
1819044545 1866402485 {'positive': 2, 'negative': 0, 'total': 34}
1819078733 1866402485 {'positive': 1, 'negative': 0, 'total': 62}
1654677412 1866402485 {'positive': 0, 'negative': 1, 'total': 18}
1819138363 1866402485 {'positive': 0, 'negative': 1, 'total': 90}
1654716854 1866402485 {'positive': 0, 'negative': 1, 'total': 46}
1654725695 1866402485 {'positive': 1, 'negative': 0, 'total': 99}
1819925303 1866402485 {'positive': 0, 'negative': 1, 'total': 50}
1654773762 1866402485 {'positive': 1, 'negative': 1, 'total': 69}
1654773432 1866402485 {'positive': 1, 'negative': 0, 'total': 16}
